DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-10-30,Spain,La Liga,LEAGUE,2022/2023,Real Sociedad,Real Betis,A,0,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,7,7,58,5,22,4,0,9,4,5,42,3,16,4,0
2022-10-31,Spain,La Liga,LEAGUE,2022/2023,Elche,Getafe,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,59,6,12,0,0,8,3,5,41,2,11,3,1
2022-11-04,Spain,La Liga,LEAGUE,2022/2023,Girona,Athletic Club,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,22,10,12,42,7,11,1,0,11,7,4,58,1,11,1,0
2022-11-05,Spain,La Liga,LEAGUE,2022/2023,Celta de Vigo,Osasuna,A,1,2,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,13,5,8,62,2,12,1,0,8,4,4,38,3,20,5,0
2022-11-05,Spain,La Liga,LEAGUE,2022/2023,Real Valladolid,Elche,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,17,11,6,51,8,9,2,0,4,2,2,49,4,10,0,0
2022-11-05,Spain,La Liga,LEAGUE,2022/2023,Getafe,Cádiz,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,1,13,53,5,15,6,2,14,4,10,47,5,16,2,1
2022-11-05,Spain,La Liga,LEAGUE,2022/2023,FC Barcelona,Almería,H,2,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,27,12,15,70,9,14,2,0,4,1,3,30,1,13,1,0
2022-11-06,Spain,La Liga,LEAGUE,2022/2023,Atlético Madrid,Espanyol,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,22,8,14,67,12,13,3,0,5,1,4,33,2,10,5,1
2022-11-06,Spain,La Liga,LEAGUE,2022/2023,Real Betis,Sevilla,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,9,4,5,37,1,6,4,2,21,4,17,63,4,20,5,1
2022-11-06,Spain,La Liga,LEAGUE,2022/2023,Real Sociedad,Valencia,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,10,4,6,27,1,11,2,1,14,3,11,73,11,12,0,0
2022-11-06,Spain,La Liga,LEAGUE,2022/2023,Villarreal,Mallorca,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,11,2,9,71,5,17,4,0,7,5,2,29,2,16,6,0
2022-11-07,Spain,La Liga,LEAGUE,2022/2023,Rayo Vallecano,Real Madrid,H,3,2,D,2,2,N/A,N/A,N/A,N/A,N/A,N/A,16,8,8,45,4,22,4,0,17,2,15,55,5,11,5,0
2022-11-08,Spain,La Liga,LEAGUE,2022/2023,Elche,Girona,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,45,2,16,3,0,23,5,18,55,5,9,2,0
2022-11-08,Spain,La Liga,LEAGUE,2022/2023,Athletic Club,Real Valladolid,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,20,7,13,43,10,21,3,0,8,0,8,57,2,6,1,0
2022-11-08,Spain,La Liga,LEAGUE,2022/2023,Osasuna,FC Barcelona,A,1,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,3,12,47,3,15,4,0,10,4,6,53,6,6,4,2
2022-11-09,Spain,La Liga,LEAGUE,2022/2023,Mallorca,Atlético Madrid,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,8,2,6,37,2,14,5,0,17,5,12,63,5,17,3,0
2022-11-09,Spain,La Liga,LEAGUE,2022/2023,Almería,Getafe,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,55,7,17,8,1,12,3,9,45,6,8,4,0
2022-11-09,Spain,La Liga,LEAGUE,2022/2023,Sevilla,Real Sociedad,A,1,2,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,3,32,2,9,2,2,17,9,8,68,1,12,2,0
2022-11-09,Spain,La Liga,LEAGUE,2022/2023,Espanyol,Villarreal,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,6,9,44,4,11,1,0,10,4,6,56,7,6,3,0
2022-11-10,Spain,La Liga,LEAGUE,2022/2023,Rayo Vallecano,Celta de Vigo,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,3,7,58,5,19,7,0,11,3,8,42,3,16,1,0
2022-11-10,Spain,La Liga,LEAGUE,2022/2023,Valencia,Real Betis,H,3,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,8,7,62,5,12,1,0,4,1,3,38,5,9,3,1
2022-11-10,Spain,La Liga,LEAGUE,2022/2023,Real Madrid,Cádiz,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,18,5,13,67,7,12,3,0,8,4,4,33,1,16,3,0
