DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-08-28,Spain,La Liga,LEAGUE,2022/2023,FC Barcelona,Real Valladolid,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,24,8,16,68,14,9,1,0,7,2,5,32,4,8,2,0
2022-08-29,Spain,La Liga,LEAGUE,2022/2023,Valencia,Atlético Madrid,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,13,3,10,71,6,15,4,0,15,10,5,29,2,17,3,0
2022-08-29,Spain,La Liga,LEAGUE,2022/2023,Cádiz,Athletic Club,A,0,4,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,37,0,18,2,0,22,11,11,63,6,4,1,0
2022-09-02,Spain,La Liga,LEAGUE,2022/2023,Celta de Vigo,Cádiz,H,3,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,9,5,4,58,2,13,1,0,6,0,6,42,2,23,2,0
2022-09-03,Spain,La Liga,LEAGUE,2022/2023,Sevilla,FC Barcelona,A,0,3,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,16,6,10,46,4,15,2,0,18,6,12,54,4,14,4,0
2022-09-03,Spain,La Liga,LEAGUE,2022/2023,Real Madrid,Real Betis,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,21,5,16,50,9,8,0,0,9,4,5,50,2,12,1,0
2022-09-03,Spain,La Liga,LEAGUE,2022/2023,Mallorca,Girona,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,52,6,23,4,0,11,4,7,48,3,9,2,0
2022-09-03,Spain,La Liga,LEAGUE,2022/2023,Real Sociedad,Atlético Madrid,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,12,7,5,55,7,18,5,0,18,9,9,45,6,13,4,0
2022-09-04,Spain,La Liga,LEAGUE,2022/2023,Osasuna,Rayo Vallecano,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,16,7,9,46,4,14,2,0,5,3,2,54,0,16,2,0
2022-09-04,Spain,La Liga,LEAGUE,2022/2023,Villarreal,Elche,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,18,10,8,53,6,10,1,0,6,0,6,47,4,9,3,0
